INSTNM,STABBR
Cannella School of Hair Design-Chicago,IL
Cannella School of Hair Design-Elgin,IL
Empire Beauty School-Hanover Park,IL
Capri Beauty College,IL
Carl Sandburg College,IL
Catholic Theological Union at Chicago,IL
La James International College-East Moline,IL
Midwestern University-Downers Grove,IL
The Chicago School of Professional Psychology at Chicago,IL
Chicago State University,IL
Chicago Theological Seminary,IL
University of Chicago,IL
City Colleges of Chicago-Kennedy-King College,IL
City Colleges of Chicago-Malcolm X College,IL
City Colleges of Chicago-Olive-Harvey College,IL
City Colleges of Chicago-Harry S Truman College,IL
City Colleges of Chicago-Richard J Daley College,IL
City Colleges of Chicago-Harold Washington College,IL
City Colleges of Chicago-Wilbur Wright College,IL
Columbia College-Chicago,IL
Concordia University-Chicago,IL
Le Cordon Bleu College of Culinary Arts-Chicago,IL
Coyne College,IL
Danville Area Community College,IL
Tricoci University of Beauty Culture-Danville,IL
DePaul University,IL
Cosmetology & Spa Academy,IL
College of DuPage,IL
East-West University,IL
Eastern Illinois University,IL
Elgin Community College,IL
Elmhurst College,IL
Eureka College,IL
First Institute Inc,IL
Fox College,IL
Garrett-Evangelical Theological Seminary,IL
Gem City College,IL
Governors State University,IL
Graham Hospital School of Nursing,IL
Greenville College,IL
Hair Professionals Academy of Cosmetology,IL
Hair Professionals Career College,IL
Hair Professionals School of Cosmetology,IL
Harrington College of Design,IL
Hebrew Theological College,IL
Highland Community College,IL
Rosalind Franklin University of Medicine and Science,IL
University of Illinois at Chicago,IL
Benedictine University,IL
Illinois College of Optometry,IL
University of Illinois at Urbana-Champaign,IL
Illinois Wesleyan University,IL
Illinois Central College,IL
Illinois College,IL
Olney Central College,IL
Illinois Institute of Technology,IL
Argosy University-Chicago,IL
Illinois State University,IL
Illinois Valley Community College,IL
Institute for Clinical Social Work,IL
Sanford-Brown College-Chicago,IL
John A Logan College,IL
The John Marshall Law School,IL
John Wood Community College,IL
Joliet Junior College,IL
Judson University,IL
Kankakee Community College,IL
Kaskaskia College,IL
Kendall College,IL
Kishwaukee College,IL
Knox College,IL
Educators of Beauty College of Cosmetology-La Salle,IL
College of Lake County,IL
Lake Forest College,IL
Lake Forest Graduate School of Management,IL
Lake Land College,IL
Lakeview College of Nursing,IL
Lewis and Clark Community College,IL
Lewis University,IL
Lincoln Christian University,IL
Lincoln College,IL
Lincoln Land Community College,IL
Lincoln College of Technology-Melrose Park,IL
Loyola University Chicago,IL
Lutheran School of Theology at Chicago,IL
Trinity College of Nursing & Health Sciences,IL
CET-Chicago,IL
Steven Papageorge Hair Academy,IL
MacCormac College,IL
MacMurray College,IL
McCormick Theological Seminary,IL
McHenry County College,IL
McKendree University,IL
Meadville Lombard Theological School,IL
Methodist College,IL
Midstate College,IL
Millikin University,IL
Monmouth College,IL
Moody Bible Institute,IL
Moraine Valley Community College,IL
Morrison Institute of Technology,IL
Morton College,IL
Mr John's School of Cosmetology Esthetics & Nails-Decatur,IL
National Louis University,IL
National University of Health Sciences,IL
Niles School of Cosmetology,IL
North Central College,IL
North Park University,IL
Northern Baptist Theological Seminary,IL
Northern Illinois University,IL
Northwestern College-Chicago Campus,IL
Northwestern University,IL
Northeastern Illinois University,IL
Oakton Community College,IL
Oehrlein School of Cosmetology,IL
Olivet Nazarene University,IL
Parkland College,IL
Pivot Point Academy-Evanston,IL
Prairie State College,IL
Professional's Choice Hair Design Academy,IL
Quincy University,IL
Vatterott College-Quincy,IL
The Illinois Institute of Art-Chicago,IL
Rend Lake College,IL
Richland Community College,IL
Robert Morris University Illinois,IL
Rock Valley College,IL
Madison Media Institute-Rockford Career College,IL
Rockford University,IL
Roosevelt University,IL
Dominican University,IL
Rush University,IL
Saint Francis Medical Center College of Nursing,IL
University of St Francis,IL
St. John's College-Department of Nursing,IL
Saint Xavier University,IL
University of Illinois at Springfield,IL
Sauk Valley Community College,IL
Shawnee Community College,IL
Shimer College,IL
Saint Augustine College,IL
University of Saint Mary of the Lake,IL
Southeastern Illinois College,IL
National Latino Education Institute,IL
Spertus College,IL
Spoon River College,IL
Saint Anthony College of Nursing,IL
Educators of Beauty College of Cosmetology-Sterling,IL
Southern Illinois University-Carbondale,IL
Southern Illinois University-Edwardsville,IL
Taylor Business Institute,IL
Telshe Yeshiva-Chicago,IL
South Suburban College,IL
Tri-County Beauty Academy,IL
Trinity Christian College,IL
Trinity International University-Illinois,IL
Triton College,IL
University of Spa & Cosmetology Arts,IL
VanderCook College of Music,IL
Waubonsee Community College,IL
Resurrection University,IL
Western Illinois University,IL
Wheaton College,IL
William Rainey Harper College,IL
Ancilla College,IN
Anderson University,IN
Apex Academy of Hair Design Inc,IN
Ball State University,IN
Bethel College-Indiana,IN
Butler University,IN
Calumet College of Saint Joseph,IN
Christian Theological Seminary,IN
College of Court Reporting Inc,IN
Concordia Theological Seminary,IN
Tricoci University of Beauty Culture-Highland,IN
DePauw University,IN
Don Roberts School of Hair Design,IN
Don Roberts Beauty School,IN
Earlham College,IN
University of Evansville,IN
Franklin College,IN
Goshen College,IN
Grace College and Theological Seminary,IN
Hair Fashions By Kaye Beauty College-Noblesville,IN
Hair Fashions By Kaye Beauty College-Indianapolis,IN
Hanover College,IN
J Michael Harrold Beauty Academy,IN
Holy Cross College,IN
PJ's College of Cosmetology-Clarksville,IN
Huntington University,IN
Ivy Tech Community College,IN
Indiana University-Purdue University-Fort Wayne,IN
Indiana University-Purdue University-Indianapolis,IN
Harrison College-Indianapolis,IN
University of Indianapolis,IN
Indiana Institute of Technology,IN
University of Southern Indiana,IN
Indiana State University,IN
Indiana University-Kokomo,IN
Indiana University-South Bend,IN
Indiana University-Bloomington,IN
Indiana University-Northwest,IN
Indiana University-Southeast,IN
Indiana University-East,IN
International Business College-Fort Wayne,IN
International Business College-Indianapolis,IN
ITT Technical Institute-Nashville,TN
ITT Technical Institute-Fort Wayne,IN
ITT Technical Institute-Indianapolis,IN
J Everett Light Career Center,IN
Knox Beauty College,IN
Tricoci University of Beauty Culture-Lafayette,IN
Brown Mackie College-Merrillville,IN
Brown Mackie College-Michigan City,IN
Empire Beauty School-Indianapolis,IN
Lincoln College of Technology-Indianapolis,IN
Manchester University,IN
Marian University,IN
Indiana Wesleyan University-Marion,IN
Martin University,IN
Masters of Cosmetology College,IN
Anabaptist Mennonite Biblical Seminary,IN
Merrillville Beauty College,IN
Brown Mackie College-South Bend,IN
Mid-America College of Funeral Service,IN
West Michigan College of Barbering and Beauty,MI
University of Notre Dame,IN
Oakland City University,IN
PJ's College of Cosmetology-Richmond,IN
Purdue University-Calumet Campus,IN
Purdue University-North Central Campus,IN
Ravenscroft Beauty College,IN
Rogers Academy of Hair Design,IN
Rose-Hulman Institute of Technology,IN
Rudae's School of Beauty Culture-Kokomo,IN
University of Saint Francis-Fort Wayne,IN
Saint Josephs College,IN
Saint Mary-of-the-Woods College,IN
Saint Mary's College,IN
Brightwood College-Hammond,IN
Saint Meinrad School of Theology,IN
Saint Elizabeth School of Nursing,IN
Taylor University,IN
Trine University,IN
Valparaiso University,IN
Vincennes Beauty College,IN
Vincennes University,IN
Wabash College,IN
Allen College,IA
AIB College of Business,IA
Briar Cliff University,IA
Buena Vista University,IA
Capri College-Dubuque,IA
Capri College-Cedar Rapids,IA
American College of Hairstyling-Cedar Rapids,IA
Central College,IA
Clarke University,IA
Coe College,IA
Cornell College,IA
Iowa School of Beauty-Marshalltown,IA
Des Moines Area Community College,IA
Divine Word College,IA
Dordt College,IA
Drake University,IA
University of Dubuque,IA
Ellsworth Community College,IA
Emmaus Bible College,IA
Eastern Iowa Community College District,IA
Faith Baptist Bible College and Theological Seminary,IA
Faust Institute of Cosmetology-Storm Lake,IA
Graceland University-Lamoni,IA
Grand View University,IA
Grinnell College,IA
Kaplan University-Mason City Campus,IA
Kaplan University-Cedar Rapids Campus,IA
Hamilton Technical College,IA
Hawkeye Community College,IA
American Hair Academy,IA
Indian Hills Community College,IA
Iowa Central Community College,IA
Iowa Lakes Community College,IA
UnityPoint Health-Des Moines School of Radiologic Technology,IA
American College of Hairstyling-Des Moines,IA
Iowa School of Beauty-Des Moines,IA
Iowa State University,IA
Iowa Wesleyan University,IA
Iowa Western Community College,IA
University of Iowa,IA
Kirkwood Community College,IA
La James International College-Cedar Falls,IA
La James International College-Johnston,IA
La James College of Hairstyling and Cosmetology,IA
La James International College-Ft Dodge,IA
Loras College,IA
Luther College,IA
Maharishi University of Management,IA
Marshalltown Community College,IA
Mercy College of Health Sciences,IA
Morningside College,IA
Mount Mercy University,IA
Ashford University,CA
North Iowa Area Community College,IA
University of Northern Iowa,IA
Northwestern College,IA
Northeast Iowa Community College,IA
Northwest Iowa Community College,IA
Des Moines University-Osteopathic Medical Center,IA
Iowa School of Beauty-Ottumwa,IA
Palmer College of Chiropractic,IA
PCI Academy-Ames,IA
Saint Ambrose University,IA
St Luke's College,IA
La James International College-Davenport,IA
La James International College-Iowa City,IA
Simpson College,IA
Southeastern Community College,IA
Southwestern Community College,IA
Capri College-Davenport,IA
Iowa School of Beauty-Sioux City,IA
E Q School of Hair Design,IA
Upper Iowa University,IA
Waldorf College,IA
Wartburg College,IA
Wartburg Theological Seminary,IA
College of Hair Design,IA
Western Iowa Tech Community College,IA
William Penn University,IA
Allen County Community College,KS
Baker University,KS
Barton County Community College,KS
Benedictine College,KS
Bethany College,KS
Bethel College-North Newton,KS
Brown Mackie College-Kansas City,KS
Brown Mackie College-Salina,KS
Bryan University,KS
Butler Community College,KS
Central Baptist Theological Seminary,KS
Central Christian College of Kansas,KS
Cloud County Community College,KS
Coffeyville Community College,KS
Colby Community College,KS
Cowley County Community College,KS
Marinello Schools of Beauty-Manhattan,KS
Dodge City Community College,KS
Donnelly College,KS
Emporia State University,KS
Flint Hills Technical College,KS
Fort Hays State University,KS
Barclay College,KS
Friends University,KS
Fort Scott Community College,KS
Garden City Community College,KS
Haskell Indian Nations University,KS
Hays Academy of Hair Design,KS
Hesston College,KS
Highland Community College,KS
Hutchinson Community College,KS
Independence Community College,KS
Johnson County Community College,KS
Concorde Career College-Kansas City,MO
